Date,Hum,Hum1,Hum2,Hum3,Hum4,Hum5,Hum6,Hum7,Hum8,Hum9,Hum10,Hum11,Hum12,Hum13,Hum14,Hum15,Hum16,Hum17,Hum18,Hum19,Hum20,Hum21,Hum22,Hum23,Hum24,Hum25,Hum26,Hum27,Hum28,Hum29,Hum30,Hum31
2011-01-01,61.0,57.3,127.7,183.1,263.9,336.2,384.09999999999997,424.59999999999997,460.7,512.7,574.3000000000001,623.4000000000001,694.4000000000001,762.3000000000001,813.7,888.2,934.3000000000001,972.1,1015.4,1053.5,1084.9,1123.3000000000002,1183.1000000000001,1239.4,1312.9,1350.3000000000002,1409.2000000000003,1477.5000000000002,1531.8000000000002,1582.6000000000001,1652.6000000000001,1652.6000000000001
2011-01-02,62.3,61.0,118.3,188.7,244.1,324.9,397.2,445.09999999999997,485.59999999999997,521.6999999999999,573.6999999999999,635.3,684.4,755.4,823.3,874.6999999999999,949.1999999999999,995.3,1033.1,1076.3999999999999,1114.4999999999998,1145.8999999999999,1184.3,1244.1,1300.3999999999999,1373.8999999999999,1411.3,1470.2,1538.5,1592.8,1643.6,1643.6
2011-01-03,66.4,62.3,123.3,180.6,251.0,306.4,387.2,459.5,507.4,547.9,584.0,636.0,697.6,746.7,817.7,885.6,937.0,1011.5,1057.6,1095.3999999999999,1138.6999999999998,1176.7999999999997,1208.1999999999998,1246.6,1306.3999999999999,1362.6999999999998,1436.1999999999998,1473.6,1532.5,1600.8,1655.1,1655.1
2011-01-04,66.4,66.4,128.7,189.7,247.0,317.4,372.79999999999995,453.59999999999997,525.9,573.8,614.3,650.4,702.4,764.0,813.1,884.1,952.0,1003.4,1077.9,1124.0,1161.8,1205.1,1243.1999999999998,1274.6,1313.0,1372.8,1429.1,1502.6,1540.0,1598.9,1667.2,1667.2
2011-01-05,62.9,66.4,132.8,195.10000000000002,256.1,313.40000000000003,383.80000000000007,439.20000000000005,520.0,592.3,640.1999999999999,680.6999999999999,716.8,768.8,830.4,879.5,950.5,1018.4,1069.8,1144.3,1190.3999999999999,1228.1999999999998,1271.4999999999998,1309.5999999999997,1340.9999999999998,1379.3999999999999,1439.1999999999998,1495.4999999999998,1568.9999999999998,1606.3999999999999,1665.3,1665.3
2011-01-06,53.5,62.9,129.3,195.70000000000002,258.0,319.0,376.3,446.70000000000005,502.1,582.9,655.1999999999999,703.0999999999999,743.5999999999999,779.6999999999999,831.6999999999999,893.3,942.4,1013.4,1081.3,1132.7,1207.2,1253.3,1291.1,1334.3999999999999,1372.4999999999998,1403.8999999999999,1442.3,1502.1,1558.3999999999999,1631.8999999999999,1669.3,1669.3
2011-01-07,48.8,53.5,116.4,182.8,249.20000000000002,311.5,372.5,429.8,500.20000000000005,555.6,636.4,708.6999999999999,756.5999999999999,797.0999999999999,833.1999999999999,885.1999999999999,946.8,995.9,1066.9,1134.8000000000002,1186.2000000000003,1260.7000000000003,1306.8000000000002,1344.6000000000001,1387.9,1426.0,1457.4,1495.8000000000002,1555.6000000000001,1611.9,1685.4,1685.4
2011-01-08,67.9,48.8,102.3,165.2,231.6,298.0,360.3,421.3,478.6,549.0,604.4,685.1999999999999,757.4999999999999,805.3999999999999,845.8999999999999,881.9999999999999,933.9999999999999,995.5999999999999,1044.6999999999998,1115.6999999999998,1183.6,1235.0,1309.5,1355.6,1393.3999999999999,1436.6999999999998,1474.7999999999997,1506.1999999999998,1544.6,1604.3999999999999,1660.6999999999998,1660.6999999999998
2011-01-09,52.6,67.9,116.7,170.2,233.1,299.5,365.9,428.2,489.2,546.5,616.9,672.3,753.0999999999999,825.3999999999999,873.2999999999998,913.7999999999998,949.8999999999999,1001.8999999999999,1063.4999999999998,1112.5999999999997,1183.5999999999997,1251.4999999999998,1302.8999999999999,1377.3999999999999,1423.4999999999998,1461.2999999999997,1504.5999999999997,1542.6999999999996,1574.0999999999997,1612.4999999999998,1672.2999999999997,1672.2999999999997
2011-01-10,44.0,52.6,120.5,169.3,222.8,285.7,352.1,418.5,480.8,541.8,599.0999999999999,669.4999999999999,724.8999999999999,805.6999999999998,877.9999999999998,925.8999999999997,966.3999999999997,1002.4999999999998,1054.4999999999998,1116.0999999999997,1165.1999999999996,1236.1999999999996,1304.0999999999997,1355.4999999999998,1429.9999999999998,1476.0999999999997,1513.8999999999996,1557.1999999999996,1595.2999999999995,1626.6999999999996,1665.0999999999997,1665.0999999999997
